run_id,case,stratum,permutation,numeric_form,permutation_spec,permutation_seed,environment,environment_fingerprint,python_hash_seed,locale,timezone,hash,reference_hash,pass
case_a-019,case_a,row_shuffle,row_shuffle_09,True,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""numeric_form"": true, ""obligation_order"": true, ""risk_order"": true}",1597741886,in_process,1e8ff44e0c3eb6a5,63453551,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-020,case_a,row_shuffle,row_shuffle_10,False,"{""acs_order"": true, ""authority_order"": true, ""catalog_order"": true, ""obligation_order"": true, ""risk_order"": true}",1386997563,clean_process,134731fecc09c2c4,3715493660,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-021,case_a,key_shuffle,key_shuffle_01,False,"{""key_order"": ""reverse""}",1447699540,in_process,237f15d22f64e1f4,665511079,C,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-022,case_a,key_shuffle,key_shuffle_02,True,"{""key_order"": ""shuffle"", ""numeric_form"": true}",131028586,clean_process,b9f664722fb602cb,823420485,en_US.UTF-8,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-023,case_a,key_shuffle,key_shuffle_03,False,"{""key_order"": ""rotate""}",1489596525,in_process,19c6a7e899cd1524,795636474,de_DE.UTF-8,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-024,case_a,key_shuffle,key_shuffle_04,True,"{""key_order"": ""shuffle"", ""numeric_form"": true}",1382318399,clean_process,a93669fe0f21aa6f,3088273016,tr_TR.UTF-8,Europe/Berlin,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-025,case_a,key_shuffle,key_shuffle_05,False,"{""key_order"": ""reverse""}",802555614,in_process,e6bb276a3f179dc0,3359201966,ja_JP.UTF-8,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-026,case_a,locale,locale_01,False,"{""risk_order"": true}",2091460600,clean_process,ec343d8e92e05b7c,1400042816,en_US.UTF-8,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-027,case_a,locale,locale_02,False,"{""risk_order"": true}",1845763611,in_process,9fa40593518077a3,2348823001,de_DE.UTF-8,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-028,case_a,locale,locale_03,False,"{""risk_order"": true}",731453688,clean_process,4040bab7cdd02a33,2883216041,tr_TR.UTF-8,UTC,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-029,case_a,timezone,timezone_01,False,"{""risk_order"": true}",713322537,in_process,1044195cf799e30d,1862407300,C,America/Edmonton,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-030,case_a,timezone,timezone_02,False,"{""risk_order"": true}",2004302251,clean_process,cd31f4eb2df09424,2480227519,C,Asia/Kolkata,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_a-031,case_a,timezone,timezone_03,False,"{""risk_order"": true}",1559802914,in_process,c77c072022798023,237623312,C,Pacific/Chatham,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,f5cbc3a8016159d2074005fa021bf76ca04fb7aed1408f5ec845418460a43536,PASS
case_b-001,case_b,repeat,repeat_01,False,{},96029441,in_process,92359d50da1911ec,48046374,C,UTC,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-002,case_b,repeat,repeat_02,False,{},639597101,clean_process,0ba2b0481b19b827,4110778351,en_US.UTF-8,Pacific/Chatham,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-003,case_b,repeat,repeat_03,False,{},13918715,in_process,e3dafe8daa5f4dec,447026317,de_DE.UTF-8,America/Edmonton,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-004,case_b,repeat,repeat_04,False,{},1895190805,clean_process,9faed0f3eee92402,4095724329,tr_TR.UTF-8,Europe/Berlin,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
case_b-005,case_b,repeat,repeat_05,False,{},2023481059,in_process,8e60010244ebb06d,215321799,ja_JP.UTF-8,Asia/Kolkata,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,2850155a2ee7d4c01db4748a891891bae27c48f4c9c2c7eccd30beb7d1aa33ce,PASS
